Title,Artist,Mood,Tempo,Energy,Valence
Sprinter,Dave,Focused,139,0.681,0.706
Blue Green Red,Drake,Focused,130,0.678,0.83
Initiation,The Weeknd,Focused,140,0.685,0.741
Sprinter,Dave,Focused,139,0.681,0.706
Blue Green Red,Drake,Focused,130,0.678,0.83
Initiation,The Weeknd,Focused,140,0.685,0.741
Sprinter,Dave,Focused,139,0.681,0.706
Blue Green Red,Drake,Focused,130,0.678,0.83
Initiation,The Weeknd,Focused,140,0.685,0.741
Sprinter,Dave,Focused,139,0.681,0.706
Blue Green Red,Drake,Focused,130,0.678,0.83
Initiation,The Weeknd,Focused,140,0.685,0.741
